bookID	authors	average_rating	isbn	isbn13	language_code	num_pages	ratings_count	text_reviews_count	publication_date	publisher	genero	title_book	series	title	SerieChave
50	Gary Paulsen	3,72	689840926	9,78069E+12	eng	208	270244	12017	01/04/2000	Atheneum Books for Young Readers: Richard Jackson Books	Jovem Adulto	Hatchet	Brian's Saga  	Hatchet (Brian's Saga  #1)	Brian's Saga  #1
51	Donna Ickes	4	1557344493	9,78156E+12	eng	48	36	2	28/08/1994	Teacher Created Resources	NULL	"Hatchet: A Guide for Using ""Hatchet"" in the Classroom"	NULL	"Hatchet: A Guide for Using ""Hatchet"" in the Classroom"	NULL
53	Gary Paulsen	3,88	385326505	9,78039E+12	eng	144	2067	334	23/01/2001	Delacorte Press	Biografia/Autobiografia	Guts: The True Stories behind Hatchet and the Brian Books	NULL	Guts: The True Stories behind Hatchet and the Brian Books	NULL
54	Molly Hatchet	4,33	1575606240	9,78158E+12	eng	56	6	0	10/06/2003	Cherry Lane Music Company	NULL	Molly Hatchet - 5 of the Best	NULL	Molly Hatchet - 5 of the Best	NULL
55	Dale Peck	3,45	1595580271	9,7816E+12	en-US	228	99	16	01/11/2005	The New Press	História	Hatchet Jobs: Writings on Contemporary Fiction	NULL	Hatchet Jobs: Writings on Contemporary Fiction	NULL
57	Angela Knight	3,76	1595962808	9,7816E+12	eng	304	167	4	01/11/2005	Changeling Press	Ficção	A Changeling for All Seasons	Changeling Seasons 	A Changeling for All Seasons (Changeling Seasons #1)	Changeling Seasons #1
58	Delia Sherman	3,6	670059676	9,78067E+12	eng	256	978	111	17/08/2006	Viking Juvenile	Fantasia	Changeling	Changeling  	Changeling (Changeling  #1)	Changeling  #1
59	Patricia A. McKillip	4,06	141312629	9,78014E+12	eng	137	4454	302	14/04/2003	Firebird	Fantasia	The Changeling Sea	NULL	The Changeling Sea	NULL
61	Zilpha Keatley Snyder	4,17	595321801	9,7806E+12	eng	228	1176	96	08/06/2004	iUniverse	Ficção	The Changeling	NULL	The Changeling	NULL
63	Kate Horsley	3,55	1590301943	9,78159E+12	eng	339	301	43	12/04/2005	Shambhala	Ficção Histórica	The Changeling	NULL	The Changeling	NULL
66	Philippa Carr	3,98	449146979	9,78045E+12	eng	369	345	12	28/08/1990	Ivy Books	Romance	The Changeling	Daughters of England  	The Changeling (Daughters of England  #15)	Daughters of England  #15
67	Edward P. Jones	3,83	61159174	9,78006E+12	eng	388	29686	2626	29/08/2006	Amistad	Ficção Histórica	The Known World	NULL	The Known World	NULL
71	Satyajit Das	3,83	273704745	9,78027E+12	eng	334	1456	82	15/05/2006	FT Press	NULL	Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives	NULL	Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives	NULL
72	Mark Smylie	4,13	1932386106	9,78193E+12	eng	352	52	4	14/12/2005	Archaia	NULL	Artesia: Adventures in the Known World	NULL	Artesia: Adventures in the Known World	NULL
74	John McPhee	4,42	374517193	9,78037E+12	eng	416	562	37	01/06/1982	Farrar  Straus and Giroux	Crônica	The John McPhee Reader	John McPhee Reader  	The John McPhee Reader (John McPhee Reader  #1)	John McPhee Reader  #1
75	John McPhee	3,95	374280398	9,78037E+12	en-US	248	1630	203	16/05/2006	Farrar Straus Giroux	NULL	Uncommon Carriers	NULL	Uncommon Carriers	NULL
76	John McPhee	4,17	374519749	9,78037E+12	eng	128	268	22	01/04/1986	Farrar  Straus and Giroux	NULL	Heirs of General Practice	NULL	Heirs of General Practice	NULL
77	John McPhee	4,24	374522596	9,78037E+12	en-US	288	3498	305	01/09/1990	Farrar  Straus and Giroux	História	The Control of Nature	NULL	The Control of Nature	NULL
78	John McPhee	4,34	374518734	9,78037E+12	eng	720	3115	228	06/01/1999	Farrar  Straus and Giroux	História	Annals of the Former World	NULL	Annals of the Former World	NULL
79	John McPhee	4,22	374522871	9,78037E+12	eng	448	5704	261	01/04/1991	Farrar  Straus and Giroux	Jovem Adulto	Coming Into the Country	NULL	Coming Into the Country	NULL
80	John McPhee	3,92	374519323	9,78037E+12	fre	160	698	52	01/04/1994	Farrar  Straus and Giroux	História	La Place de la Concorde Suisse	NULL	La Place de la Concorde Suisse	NULL
81	John McPhee	4,23	374516006	9,78037E+12	eng	288	542	36	01/04/1994	Farrar  Straus and Giroux	Crônica	Giving Good Weight	NULL	Giving Good Weight	NULL
83	John McPhee	4,23	374520658	9,78037E+12	eng	208	1341	98	01/11/1987	Farrar  Straus and Giroux	História	Rising from the Plains	NULL	Rising from the Plains	NULL
85	Wendy Wasserstein	3,75	822205106	9,78082E+12	eng	81	1423	70	01/03/2002	Dramatists Play Service	Drama	The Heidi Chronicles	NULL	The Heidi Chronicles	NULL
86	Wendy Wasserstein	3,84	679734996	9,78068E+12	eng	249	2766	64	02/07/1991	Vintage	Drama	The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic	NULL	The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic	NULL
89	Heidi Hayes Jacobs	3,94	1596670231	9,7816E+12	eng	138	31	1	29/03/2006	Routledge	Didáticos	Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening	NULL	Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening	NULL
90	Heidi Boyd	3,77	1581807740	9,78158E+12	en-US	128	62	4	14/03/2006	North Light Books	Ficção	Simply Beautiful Beaded Jewelry	NULL	Simply Beautiful Beaded Jewelry	NULL
91	Heidi Baker	4,46	800793617	9,7808E+12	eng	192	860	53	01/09/2003	Chosen Books	Biografia/Autobiografia	Always Enough: God's Miraculous Provision Among the Poorest Children on Earth	NULL	Always Enough: God's Miraculous Provision Among the Poorest Children on Earth	NULL
92	Heidi Hayes Jacobs	3,68	871202867	9,78087E+12	en-US	108	77	2	28/01/1997	Association for Supervision & Curriculum Development	Didáticos	Mapping the Big Picture: Integrating Curriculum & Assessment K-12	NULL	Mapping the Big Picture: Integrating Curriculum & Assessment K-12	NULL
94	Heidi Hayes Jacobs	3,25	871209993	9,78087E+12	eng	192	55	5	15/11/2004	ASCD	NULL	Getting Results with Curriculum Mapping	NULL	Getting Results with Curriculum Mapping	NULL
96	Rolland Baker	4,46	1852402873	9,78185E+12	eng	192	34	6	28/04/2003	Sovereign World	NULL	There's Always Enough: The Miraculous Move of God in Mozambique	NULL	There's Always Enough: The Miraculous Move of God in Mozambique	NULL
98	Heidi Murkoff	3,89	761129588	9,78076E+12	eng	832	11797	659	16/10/2003	Workman Publishing Company	Psicologia	What to Expect the First Year	What to Expect	What to Expect the First Year (What to Expect)	NULL
99	Heidi Fleiss	3,82	972016414	9,78097E+12	eng	123	34	8	10/05/2004	One Hour Entertainment	Romance	The Player's Handbook: The Ultimate Guide on Dating and Relationships	NULL	The Player's Handbook: The Ultimate Guide on Dating and Relationships	NULL
100	Heidi Boyd	3,78	1581805632	9,78158E+12	en-US	128	78	4	19/08/2004	North Light Books	Ficção	Simply Beautiful Beading: 53 Quick and Easy Projects	NULL	Simply Beautiful Beading: 53 Quick and Easy Projects	NULL
103	Frank Herbert	3,84	441294677	9,78044E+12	eng	423	2785	166	15/06/1987	Ace Books	Ficção Científica	God Emperor of Dune	Dune Chronicles  	God Emperor of Dune (Dune Chronicles  #4)	Dune Chronicles  #4
105	Frank Herbert	3,91	441102670	9,78044E+12	eng	436	38778	568	01/07/1987	Ace Books	Ficção Científica	Chapterhouse: Dune	Dune Chronicles 	Chapterhouse: Dune (Dune Chronicles #6)	Dune Chronicles #6
106	Frank Herbert	3,88	441172695	9,78044E+12	eng	331	97494	2359	15/07/1987	Ace Books	Ficção Científica	Dune Messiah	Dune Chronicles 	Dune Messiah (Dune Chronicles #2)	Dune Chronicles #2
107	Brian Herbert	4,01	765306476	9,78077E+12	en-US	592	784	21	01/07/2004	Tor Books	Ficção Científica	Dreamer of Dune: The Biography of Frank Herbert	NULL	Dreamer of Dune: The Biography of Frank Herbert	NULL
109	Frank Herbert	3,86	399128980	9,7804E+12	eng	480	272	20	16/04/1984	Putnam	Ficção Científica	Heretics of Dune	Dune Chronicles  	Heretics of Dune (Dune Chronicles  #5)	Dune Chronicles  #5
110	Frank Herbert	3,88	765353709	9,78077E+12	eng	426	4789	83	29/08/2006	Tor Science Fiction	Ficção Científica	The Road to Dune	NULL	The Road to Dune	NULL
117	Frank Herbert	3,86	441328008	9,78044E+12	eng	471	45388	644	15/08/1987	Ace Books	Ficção Científica	Heretics of Dune	Dune Chronicles 	Heretics of Dune (Dune Chronicles #5)	Dune Chronicles #5
119	Gary Russell	4,59	618212906	9,78062E+12	eng	192	26153	102	12/06/2002	Houghton Mifflin Harcourt	NULL	The Lord of the Rings: The Art of the Fellowship of the Ring	NULL	The Lord of the Rings: The Art of the Fellowship of the Ring	NULL
122	Bryce Courtenay	4,35	034541005X	9,78035E+12	eng	544	69167	4551	29/09/1996	Ballantine Books	Jovem Adulto	The Power of One	The Power of One  	The Power of One (The Power of One  #1)	The Power of One  #1
129	John C. Maxwell	4,28	785260056	9,78079E+12	en-US	256	16	1	01/11/2004	Thomas Nelson	NULL	The Power of One: One Person  One Rule  One Month	NULL	The Power of One: One Person  One Rule  One Month	NULL
130	Dave Lakhani	3,34	471780936	9,78047E+12	eng	205	174	16	19/05/2006	Wiley	Negócios/Finanças	Power of an Hour: Business and Life Mastery in One Hour a Week	NULL	Power of an Hour: Business and Life Mastery in One Hour a Week	NULL
131	Louis E. Catron	3,67	325001537	9,78033E+12	eng	240	10	0	07/02/2000	Heinemann Drama	Drama	The Power of One: The Solo Play for Playwrights  Actors  and Directors	NULL	The Power of One: The Solo Play for Playwrights  Actors  and Directors	NULL
132	Adam Ginsberg	3,48	006076287X	9,78006E+12	eng	336	76	9	03/05/2005	William Morrow Paperbacks	Negócios/Finanças	How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days	NULL	How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days	NULL
133	Marsha Collier	3,5	470045299	9,78047E+12	eng	386	111	9	30/10/2006	Wiley	Negócios/Finanças	eBay for Dummies	NULL	eBay for Dummies	NULL
135	Chris Malta	3,62	72262788	9,78007E+12	eng	260	24	0	24/01/2006	McGraw-Hill	Negócios/Finanças	What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond	NULL	What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond	NULL
137	Marsha Collier	3,55	764569244	9,78076E+12	eng	384	55	4	17/09/2004	Wiley	Negócios/Finanças	Starting an eBay Business for Dummies	NULL	Starting an eBay Business for Dummies	NULL
138	Julia Wilkinson	4,27	471933821	9,78047E+12	eng	260	9	0	06/06/2006	Wiley	NULL	eBay: Top 100 Simplified Tips & Tricks	NULL	eBay: Top 100 Simplified Tips & Tricks	NULL
139	Marsha Collier	3,39	764559915	9,78076E+12	en-US	391	22	1	31/05/2004	Wiley	Ficção	ebay Timesaving Techniques for Dummies	NULL	ebay Timesaving Techniques for Dummies	NULL
140	Marsha Collier	3,89	764584383	9,78076E+12	en-US	864	17	3	25/04/2005	Wiley	Negócios/Finanças	eBay Business All-in-One Desk Reference for Dummies	NULL	eBay Business All-in-One Desk Reference for Dummies	NULL
141	Lucas Carlson	3,84	596523696	9,7806E+12	eng	873	166	4	29/07/2006	O'Reilly Media	NULL	Ruby Cookbook	NULL	Ruby Cookbook	NULL
142	Ruby Ann Boxcar	4,12	806523492	9,78081E+12	eng	240	50	5	03/05/2005	Citadel	Culinária/Gastronomia	Ruby Ann's Down Home Trailer Park Cookbook	NULL	Ruby Ann's Down Home Trailer Park Cookbook	NULL
147	Rob Orsini	3,48	596527314	9,7806E+12	eng	514	64	1	01/01/2007	O'Reilly Media	NULL	Rails Cookbook: Recipes for Rapid Web Development with Ruby	NULL	Rails Cookbook: Recipes for Rapid Web Development with Ruby	NULL
152	Leo Tolstoy	4,05	451528611	9,78045E+12	eng	960	109420	5696	05/11/2002	Signet	Romance	Anna Karenina	NULL	Anna Karenina	NULL
154	Marianne Sturman	3,85	822001837	9,78082E+12	eng	80	16	3	26/11/1965	Cliffs Notes	NULL	CliffsNotes on Tolstoy's Anna Karenina	NULL	CliffsNotes on Tolstoy's Anna Karenina	NULL
159	Gloria Goldreich	2,99	778322270	9,78078E+12	eng	360	411	65	28/01/2006	Mira Books	Romance	Dinner with Anna Karenina	NULL	Dinner with Anna Karenina	NULL
160	Anthony Thorlby	4,19	521313252	9,78052E+12	eng	128	1204	33	26/11/1987	Cambridge University Press	NULL	Tolstoy: Anna Karenina	NULL	Tolstoy: Anna Karenina	NULL
162	Mulk Raj Anand	3,71	140183957	9,78014E+12	eng	160	3429	279	03/07/1990	Penguin Books	Ficção	Untouchable	NULL	Untouchable	NULL
163	John Banville	3,95	679767479	9,78068E+12	eng	367	2163	216	30/06/1998	Vintage	Policial/Mistério	The Untouchable	NULL	The Untouchable	NULL
164	Eliot Ness	3,89	1568491980	9,78157E+12	eng	256	613	31	01/02/1996	Buccaneer Books	NULL	The Untouchables	NULL	The Untouchables	NULL
165	Narendra Jadhav	3,82	743270797	9,78074E+12	en-US	320	308	40	27/09/2005	Scribner	Biografia/Autobiografia	Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India	NULL	Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India	NULL
166	V.T. Rajshekar	4,2	932863051	9,78093E+12	eng	100	10	0	28/01/1995	Clarity Press	Ciências Sociais/Política	Dalit: The Black Untaouchables of India	NULL	Dalit: The Black Untaouchables of India	NULL
168	Vasant Moon	3,65	742508803	9,78074E+12	eng	224	16	4	20/12/2000	Rowman & Littlefield Publishers	Biografia/Autobiografia	Growing Up Untouchable in India: A Dalit Autobiography	NULL	Growing Up Untouchable in India: A Dalit Autobiography	NULL
171	Barry R. Cournoyer	3,4	205358624	9,78021E+12	eng	216	10	0	22/09/2003	Pearson	Didáticos	The Evidence-Based Social Work Skills Book	NULL	The Evidence-Based Social Work Skills Book	NULL
177	John Carratello	4	1557344035	9,78156E+12	eng	48	17	0	28/09/1991	Teacher Created Resources	Jovem Adulto	"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom"	NULL	"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom"	NULL
180	George Smoot	4,01	380720442	9,78038E+12	eng	360	1035	23	01/10/1994	Harper Perennial	Ficção Científica	Wrinkles in Time	NULL	Wrinkles in Time	NULL
181	Madeleine L'Engle	4	821925326	9,78082E+12	eng	250	36	6	01/05/2002	EMC/Paradigm Publishing	Fantasia	A Wrinkle in Time: With Related Readings	A Wrinkle in Time Quintet 	A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)	A Wrinkle in Time Quintet #1
182	Tara MacCarthy	3,6	043927169X	9,78044E+12	eng	32	15	0	01/01/2002	Teaching Resources	Fantasia	Literature Circle Guide: A Wrinkle in Time	NULL	Literature Circle Guide: A Wrinkle in Time	NULL
201	Madeleine L'Engle	4	606105263	9,78061E+12	spa	205	6	1	01/06/1984	Turtleback Books	Fantasia	Una arruga en el tiempo – A Wrinkle in Time	NULL	Una arruga en el tiempo – A Wrinkle in Time	NULL
204	Cynthia Harrod-Eagles	4,12	751506435	9,78075E+12	eng	367	376	17	01/06/1994	Little  Brown Book Group	Fantasia	The Long Shadow	The Morland Dynasty  	The Long Shadow (The Morland Dynasty  #6)	The Morland Dynasty  #6
205	Charles Todd	4,11	006078671X	9,78006E+12	eng	352	3086	237	03/01/2006	William Morrow	Policial/Mistério	A Long Shadow	Inspector Ian Rutledge  	A Long Shadow (Inspector Ian Rutledge  #8)	Inspector Ian Rutledge  #8
207	Ewan McGregor	3,94	743499344	9,78074E+12	en-US	320	352	44	01/11/2005	Atria Books	Jovem Adulto	Long Way Round: Chasing Shadows Across the World	NULL	Long Way Round: Chasing Shadows Across the World	NULL
208	Daniel Abraham	3,6	765313405	9,78077E+12	eng	331	9852	633	07/03/2006	Tor Books	Fantasia	A Shadow in Summer	Long Price Quartet  	A Shadow in Summer (Long Price Quartet  #1)	Long Price Quartet  #1
213	Charles Willeford	3,9	1400032490	9,7814E+12	eng	244	821	78	10/08/2004	Vintage Crime/Black Lizard	Policial/Mistério	New Hope for the Dead	Hoke Mosely 	New Hope for the Dead (Hoke Mosely #2)	Hoke Mosely #2
214	Charles Willeford	4,05	1400032482	9,7814E+12	eng	215	731	72	08/03/2005	Vintage Crime/Black Lizard	Policial/Mistério	Sideswipe: A Hoke Moseley Novel	NULL	Sideswipe: A Hoke Moseley Novel	NULL
216	Charles Willeford	3,94	1400032466	9,7814E+12	eng	191	2897	178	10/08/2004	Vintage Crime/Black Lizard	Policial/Mistério	Miami Blues	Hoke Moseley 	Miami Blues (Hoke Moseley #1)	Hoke Moseley #1
230	Charles Willeford	3,89	679732527	9,78068E+12	eng	144	98	11	03/10/1990	Vintage	Suspense/Thriller	The Burnt Orange Heresy	Vintage Crime/Black Lizard	The Burnt Orange Heresy (Vintage Crime/Black Lizard)	NULL
231	Tom Wolfe	3,42	312424442	9,78031E+12	eng	738	20888	1688	30/08/2005	Picador USA	Psicologia	I am Charlotte Simmons	NULL	I am Charlotte Simmons	NULL
237	Edward Lear	3,91	806930772	9,78081E+12	eng	48	66	19	01/10/2001	Sterling	Poesia	Poetry for Young People: Edward Lear	NULL	Poetry for Young People: Edward Lear	NULL
244	Quentin Blake	4,02	140366601	9,78014E+12	eng	287	81	6	03/10/1996	Puffin	Poesia	The Puffin Book of Nonsense Verse	NULL	The Puffin Book of Nonsense Verse	NULL
245	Henry Miller	4,22	811201120	9,78081E+12	eng	217	981	52	01/02/1964	New Directions Publishing	Crônica	Henry Miller on Writing	NULL	Henry Miller on Writing	NULL
247	Henry Miller	3,69	080213016X	9,7808E+12	eng	154	3381	141	13/01/1994	Grove Press	Ficção	Quiet Days in Clichy	NULL	Quiet Days in Clichy	NULL
249	Henry Miller	3,68	802131786	9,7808E+12	eng	318	53206	2376	06/01/1994	Grove Press	História	Tropic of Cancer	NULL	Tropic of Cancer	NULL
250	Henry Miller	3,78	802151825	9,7808E+12	eng	348	14872	459	13/01/1994	Grove Press	Humor/Comédia	Tropic of Capricorn	NULL	Tropic of Capricorn	NULL
251	Henry Miller	4,1	802151787	9,7808E+12	eng	316	3261	58	13/01/1994	Grove Press	Ficção	Nexus	The Rosy Crucifixion  	Nexus (The Rosy Crucifixion  #3)	The Rosy Crucifixion  #3
252	Henry Miller	3,98	802151809	9,7808E+12	eng	506	7805	251	12/01/1994	Grove Press	Romance	Sexus	The Rosy Crucifixion  	Sexus (The Rosy Crucifixion  #1)	The Rosy Crucifixion  #1
253	Henry Miller	3,83	811201066	9,78081E+12	eng	292	2699	142	17/01/1970	New Directions	Jovem Adulto	The Air-Conditioned Nightmare	NULL	The Air-Conditioned Nightmare	NULL
264	Henry James	3,78	141439637	9,78014E+12	eng	797	61640	1951	30/09/2003	Penguin Classics	Romance	The Portrait of a Lady	NULL	The Portrait of a Lady	NULL
277	Marguerite Duras	3,75	1571290532	9,78157E+12	eng	91	778	44	06/05/1999	Brookline Books	NULL	Writing	NULL	Writing	NULL
278	Marguerite Duras	3,85	1565842219	9,78157E+12	eng	192	963	65	01/08/1994	The New Press	Biografia/Autobiografia	The War	NULL	The War	NULL
280	Marguerite Duras	3,66	394743040	9,78039E+12	en-US	181	2057	128	12/03/1986	Pantheon	Ficção	The Ravishing of Lol Stein	NULL	The Ravishing of Lol Stein	NULL
285	Kahlil Gibran	3,68	1851681825	9,78185E+12	eng	178	203	8	01/07/1999	One World (UK)	Poesia	Love Letters	NULL	Love Letters	NULL
288	Jean Gibran	4,21	156656249X	9,78157E+12	eng	464	35	2	01/04/1998	Interlink Publishing Group	Biografia/Autobiografia	Kahlil Gibran: His Life and World	NULL	Kahlil Gibran: His Life and World	NULL
289	Kahlil Gibran	4,19	014019553X	9,78014E+12	eng	102	328	16	01/01/1998	Penguin Books	Ficção	The Beloved: Reflections on the Path of the Heart	NULL	The Beloved: Reflections on the Path of the Heart	NULL
290	Kahlil Gibran	3,98	394431243	9,78039E+12	eng	216	1308	82	21/02/1995	Knopf	Ficção Histórica	Jesus the Son of Man	NULL	Jesus the Son of Man	NULL
291	Kahlil Gibran	3,92	806501901	9,78081E+12	eng	132	6432	517	03/03/2003	Citadel	Poesia	The Broken Wings	NULL	The Broken Wings	NULL
292	Kahlil Gibran	4,08	067943920X	9,78068E+12	eng	100	3015	217	14/06/2011	Knopf	NULL	Sand and Foam	NULL	Sand and Foam	NULL
295	Robert Louis Stevenson	3,83	753453800	9,78075E+12	eng	311	318753	6734	15/09/2001	Kingfisher	Fantasia	Treasure Island	NULL	Treasure Island	NULL
302	Deidre S. Laiken	4,05	1577658051	9,78158E+12	eng	232	91	16	31/01/2006	Abdo Publishing Company	Fantasia	Treasure Island	Great Illustrated Classics	Treasure Island (Great Illustrated Classics)	NULL
313	Ralph Ginzburg	4,61	933121180	9,78093E+12	eng	270	88	4	22/11/1996	Black Classic Press	História	100 Years of Lynchings	NULL	100 Years of Lynchings	NULL
330	Dr. Seuss	4,04	394800842	9,78039E+12	eng	64	2815	164	12/09/1955	Random House Books for Young Readers	Jovem Adulto	On Beyond Zebra!	NULL	On Beyond Zebra!	NULL
332	Debbie Raleigh	3,6	821778250	9,78082E+12	eng	256	95	13	07/06/2005	Zebra	Romance	The Wedding Clause	NULL	The Wedding Clause	NULL
333	Kevin Henkes	3,44	60733039	9,78006E+12	eng	147	217	24	15/02/2005	Greenwillow Books	Jovem Adulto	The Zebra Wall	NULL	The Zebra Wall	NULL
337	Patrick Süskind	4,02	8432216062	9,78843E+12	spa	239	4136	255	01/06/2002	Booket	Fantasia Sombria	El perfume: Historia de un asesino	NULL	El perfume: Historia de un asesino	NULL
348	Robert A. Heinlein	4,01	345413997	9,78035E+12	eng	304	17232	649	17/06/1997	Del Rey	Ficção Científica	The Door Into Summer	NULL	The Door Into Summer	NULL
350	Robert A. Heinlein	3,92	441788386	9,78044E+12	eng	528	251872	6241	01/10/1991	Ace	Ficção Científica	Stranger in a Strange Land	NULL	Stranger in a Strange Land	NULL
354	Robert A. Heinlein	3,87	441748600	9,78044E+12	en-US	434	10293	193	01/06/1988	Ace Books	Ficção Científica	To Sail Beyond the Sunset	NULL	To Sail Beyond the Sunset	NULL
355	Robert A. Heinlein	3,78	345316509	9,78035E+12	en-US	439	15970	438	12/10/1985	Del Rey	Ficção Científica	Job: A Comedy of Justice	NULL	Job: A Comedy of Justice	NULL
356	Robert A. Heinlein	3,97	765314932	9,78077E+12	eng	256	6898	200	08/08/2006	Tor Books	Fantasia	Time for the Stars	Heinlein's Juveniles  	Time for the Stars (Heinlein's Juveniles  #10)	Heinlein's Juveniles  #10
357	Douglas Adams	4,06	671742515	9,78067E+12	en-US	307	67803	1401	15/02/1991	Pocket Books	Fantasia	The Long Dark Tea-Time of the Soul	Dirk Gently  	The Long Dark Tea-Time of the Soul (Dirk Gently  #2)	Dirk Gently  #2
359	Douglas Adams	3,93	345455290	9,78035E+12	eng	298	22091	746	26/04/2005	Del Rey	Ficção Científica	The Salmon of Doubt	Dirk Gently  	The Salmon of Doubt (Dirk Gently  #3)	Dirk Gently  #3
